SampleID	Class
14-10-cecum_1	GF.cecum
19-12-cecum_1	GF.cecum
2-11-cecum_1	GF.cecum
10-14-cecum_1	GF.cecum
27-13-cecum_1	GF.cecum
32-15-cecum_1	GF.cecum
20-16-cecum_1	GF.cecum
3-17-cecum_1	GF.cecum
25-2-cecum_1	GF.cecum
30-3-cecum_1	GF.cecum
8-1-cecum_1	GF.cecum
1-5-ceccum_1	GF.cecum
13-4-cecum_1	GF.cecum
18-6-cecum_1	GF.cecum
26-7-cecum_1	GF.cecum
31-9-cecum_1	GF.cecum
9-8-cecum_1	GF.cecum
16-83-cecum_1	SPF.cecum
22-87-cecum_1	SPF.cecum
5-85-cecum_1	SPF.cecum
24-101-cecum_1	SPF.cecum
34-105-cecum_1	SPF.cecum
7-103-cecum_1	SPF.cecum
11-73-cecum_1	SPF.cecum
28-71-cecum_1	SPF.cecum
33-75-cecum_1	SPF.cecum
17-89-cecum_1	SPF.cecum
23-93-cecum_1	SPF.cecum
6-91-cecum_1	SPF.cecum
15-77-cecum_1	SPF.cecum
21-81-cecum_1	SPF.cecum
4-79-cecum_1	SPF.cecum
12-97-cecum_1	SPF.cecum
29-95-cecum_1	SPF.cecum
35-99-cecum_1	SPF.cecum
