"SampleID"	"Factor1"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"Subject1TP0"	"Group1"	6.28	-4.32	7.11	-0.7	2.54	-1.53	1.31	-1.28	2.26	-2.93
"Subject1TP1"	"Group1"	10.45	-1.74	-0.78	0.79	-4.94	-0.88	1.6	-1.15	0.9	0.26
"Subject1TP2"	"Group1"	2.13	5.47	-0.57	-1	0.82	-1.38	0.76	0.89	3.08	0.78
"Subject1TP3"	"Group1"	3.22	5.17	-4.7	1.82	2.26	-1.82	0.42	-1.11	-0.34	2.67
"Subject2TP0"	"Group1"	6.88	-2.71	7.16	-0.27	2.47	-1.17	0.69	-0.72	2.75	0.19
"Subject2TP1"	"Group1"	9.49	-1.23	-0.36	1.17	-4.36	0.1	1.35	-0.82	0.12	0.75
"Subject2TP2"	"Group1"	1.71	5.02	-0.86	-1.02	0.44	-1.77	1.22	1.05	3.56	1.92
"Subject2TP3"	"Group1"	2.89	5.18	-5.35	1.69	2.41	-1.63	0.27	-1.84	0.09	2.94
"Subject3TP0"	"Group1"	2.95	1.26	7.95	0.8	0.93	-2.66	0.48	-0.72	-1.65	-0.52
"Subject3TP1"	"Group1"	11.02	-2.77	-1.5	0.96	-3.59	1.24	0.77	-0.86	-0.08	0.61
"Subject3TP2"	"Group1"	0.02	8.78	-0.38	-2.05	-2.98	-1.93	-0.98	0.39	0.57	0.02
"Subject3TP3"	"Group1"	2.16	4.98	-3.4	1.25	2.44	-1.53	-0.45	0.04	-0.91	-0.09
"Subject4TP0"	"Group1"	3.08	1.48	8.01	0.76	0.98	-3.01	0.21	-0.56	-2.3	-1.58
"Subject4TP1"	"Group1"	11.21	-2.65	-1.27	0.59	-3.07	1.41	0.12	0.19	-0.93	0.71
"Subject4TP2"	"Group1"	-0.58	8.37	-0.36	-2.06	-3.47	-2.3	-1.13	0.38	0.27	0.05
"Subject4TP3"	"Group1"	2.64	4.98	-2.86	1.18	2.27	-1.28	-0.18	0.35	-0.3	0.81
"Subject5TP0"	"Group1"	2.96	-1.22	8.63	0.67	1.16	-3.95	0.61	0.71	-3.06	1.69
"Subject5TP1"	"Group1"	9.85	-1.29	-1.56	1.6	-1.82	1.45	0.7	0.06	-0.12	-0.1
"Subject5TP2"	"Group1"	0.46	8.33	-0.01	-2.49	-2.36	-0.52	-1.92	1.2	0.76	-1.01
"Subject5TP3"	"Group1"	3.09	4.05	-4.67	1.49	3.01	0.56	-0.33	-1.09	-0.25	-0.58
"Subject6TP0"	"Group1"	3.49	-1.42	8.23	0.11	1.86	-3.21	0.43	1.07	-1.86	1.49
"Subject6TP1"	"Group1"	9.8	-1.06	-1.1	1.72	-2.75	0.81	0.28	-0.81	-0.4	0.85
"Subject6TP2"	"Group1"	0.77	8.51	-0.06	-2.41	-2.14	-0.4	-1.48	1	-0.01	-0.89
"Subject6TP3"	"Group1"	4.08	4.37	-4.84	1.85	3.37	1.57	0.22	-1.39	1.01	-1
"Subject7TP0"	"Group1"	9.55	-2.6	5.26	-3.76	2.5	2.9	-1.75	-0.47	0.81	0.42
"Subject7TP1"	"Group1"	9.72	-1	-1.07	0.23	-1.48	3.23	0.36	0.92	-0.77	-0.79
"Subject7TP2"	"Group1"	0.3	7.03	-0.06	-0.81	-1.78	-2.14	-0.53	1.37	0.58	-1.18
"Subject7TP3"	"Group1"	5.32	3.95	-5.84	2.56	2.93	0.64	1.24	0.47	-1.2	-0.11
