"SampleID"	"Factor1"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"Subject1TP0"	"Group1"	-4.84	4.05	-5.29	-2.04	0.18	-0.59	0.12	-2.92	1.23	-2.1
"Subject1TP1"	"Group1"	-9.43	3.34	2.26	3.24	-1.66	-1	-0.72	-1.09	0.92	-0.94
"Subject1TP2"	"Group1"	-3.51	-4.11	0.07	-0.58	0.93	-1.4	-0.99	-2.27	-0.8	1.49
"Subject1TP3"	"Group1"	-4.26	-3.73	2.96	-2.9	-1.06	-0.78	0.3	1.07	0.44	-0.62
"Subject2TP0"	"Group1"	-5.89	3.26	-5.61	-1.8	-0.04	-0.52	0.3	-2.24	-0.51	0.52
"Subject2TP1"	"Group1"	-8.7	2.94	1.82	3.21	-0.97	-0.22	-1.05	0.15	1.27	1.22
"Subject2TP2"	"Group1"	-3.01	-3.82	0.57	-0.38	0.87	-1.68	-1.37	-2.26	-1.2	2.93
"Subject2TP3"	"Group1"	-3.93	-3.74	2.39	-2.42	-0.64	-0.97	0.54	0.86	1.56	-0.24
"Subject3TP0"	"Group1"	-3.15	-1.25	-5.79	-0.55	-1.5	-1.5	-0.41	1.09	1.1	-0.49
"Subject3TP1"	"Group1"	-9.51	3.97	2.15	2.9	-0.51	0.66	-0.83	0.43	0.58	0.11
"Subject3TP2"	"Group1"	-2.4	-7.33	0.64	2.86	-0.14	-2.07	1.17	-0.54	-0.49	-0.82
"Subject3TP3"	"Group1"	-3.34	-3.87	1.96	-2.78	-1	-0.48	-0.33	0.75	0.5	0.87
"Subject4TP0"	"Group1"	-3.42	-1.29	-6.11	-0.7	-1.51	-1.82	-0.79	1.16	1.04	-0.33
"Subject4TP1"	"Group1"	-9.83	4.28	2.01	2.2	-0.34	0.38	-0.49	1.13	-0.65	0.23
"Subject4TP2"	"Group1"	-1.65	-7.29	0.72	3.09	-0.62	-2.27	1.07	-0.27	-0.33	-0.69
"Subject4TP3"	"Group1"	-3.8	-3.84	1.93	-2.57	-0.88	-0.29	-0.18	0.63	0.08	0.42
"Subject5TP0"	"Group1"	-2.55	1.08	-5.83	-2	-1.89	-2.91	-0.54	2.89	0.15	0.53
"Subject5TP1"	"Group1"	-9.07	3.1	2.07	1.3	-0.19	1.06	-0.6	0.31	-0.01	0.72
"Subject5TP2"	"Group1"	-2.77	-6.67	-0.06	2.69	0.27	-0.82	1.25	-0.76	-1.27	-0.01
"Subject5TP3"	"Group1"	-3.99	-2.68	2.53	-2.89	0.44	1.13	-0.06	0.32	0.86	2.23
"Subject6TP0"	"Group1"	-3	1.39	-6.25	-2.02	-1.46	-2.6	-0.88	1.89	-0.45	0.27
"Subject6TP1"	"Group1"	-9.05	2.92	1.66	2.03	-0.87	0.6	-0.06	1.11	0.84	1.15
"Subject6TP2"	"Group1"	-3.16	-6.69	0.12	2.17	0.18	-0.74	0.67	-0.06	-0.96	0.07
"Subject6TP3"	"Group1"	-5.06	-2.81	3.18	-3.13	1.12	2.56	-0.18	-1.03	0.88	1.77
"Subject7TP0"	"Group1"	-8.2	3.11	-5.88	0.26	2.9	1.27	1.26	-0.46	-0.15	-0.02
"Subject7TP1"	"Group1"	-8.93	2.5	1.56	1.29	0.45	2.09	-0.45	0.17	0.12	-0.56
"Subject7TP2"	"Group1"	-2.28	-5.85	0.42	1.49	-0.86	-1.66	-0.23	-0.86	-0.49	-1.02
"Subject7TP3"	"Group1"	-5.97	-2.35	4.17	-3.39	-0.25	1.54	-0.61	0.68	-0.43	-1.61
"Subject8TP0"	"Group1"	-8.65	3.26	-5.26	0.36	3.25	0.88	1.51	-0.14	-1.09	0.47
"Subject8TP1"	"Group1"	-8.28	2.3	1.91	1.12	0.49	2.23	-0.7	1.06	-0.23	-0.64
"Subject8TP2"	"Group1"	-2.65	-5.9	0.08	1.06	-0.77	-1.74	0.39	0.32	-0.73	-0.59
"Subject8TP3"	"Group1"	-5.19	-2.03	2.35	-4.66	-0.21	1.09	0.17	-0.2	-0.97	0.06
"Subject9TP0"	"Group1"	-8.72	3.42	-5.59	-0.19	3.12	1.09	1.53	-0.42	-0.63	0.42
"Subject9TP1"	"Group1"	-8.64	2.62	2.16	1.59	1.01	2.87	-0.81	0.38	-0.12	-1.49
"Subject9TP2"	"Group1"	-2.14	-5.82	0.51	1.74	-0.69	-2	0.03	-0.16	-0.87	-0.59
"Subject9TP3"	"Group1"	-5.61	-2.79	1.92	-4.19	-0.27	1.92	1.54	-0.77	0.28	-2.43
"Subject10TP0"	"Group2"	5.36	1.22	-1.15	0.05	-2.4	1.43	0.94	-1.06	-0.33	0.35
"Subject10TP1"	"Group2"	4.97	1.76	0.5	-0.19	-0.05	-0.36	-2.36	-0.46	0.3	0.05
"Subject10TP2"	"Group2"	4.11	5.66	2.9	0.15	-0.79	-2.1	0.4	-1.64	-0.61	-0.49
"Subject10TP3"	"Group2"	6.33	-3.12	-0.5	0.27	2.11	0.82	-0.77	-0.58	0.08	0.02
"Subject11TP0"	"Group2"	5.1	0.8	0.11	-0.4	-2.12	2.18	2.11	-3.13	0.97	-1.08
"Subject11TP1"	"Group2"	4.94	1.63	0.22	-0.12	0.32	-0.4	-1.87	-0.77	0.57	-0.3
"Subject11TP2"	"Group2"	4.6	5.55	2.27	-0.39	-0.22	-2.34	0.82	-1.71	-0.25	-0.23
"Subject11TP3"	"Group2"	6.91	-2.48	-0.61	1.49	2.33	-0.06	0.35	0.78	0.23	-0.21
"Subject12TP0"	"Group2"	5.8	0.05	-1.27	0.22	-3.56	1.23	0.75	0.44	-0.11	0.01
"Subject12TP1"	"Group2"	5.57	1.65	-0.04	0.3	0.07	0.1	-2.25	-0.36	-0.94	0.33
"Subject12TP2"	"Group2"	3.76	5.16	2.92	-0.44	0.73	-2.45	2.21	0.09	1.13	0.06
"Subject12TP3"	"Group2"	6.5	-2.65	-0.52	0.25	2.94	0.43	0.69	-0.5	2.58	1.53
"Subject13TP0"	"Group2"	5.26	-0.16	-0.5	0.53	-3.25	1.69	0.83	0.21	0.52	0.15
"Subject13TP1"	"Group2"	5.55	1.45	0.14	-0.49	0.1	-0.02	-2.11	-0.12	-0.88	-1.19
"Subject13TP2"	"Group2"	3.39	5.45	3.64	-0.32	0.85	-3.21	2.93	0.19	1.23	0.6
"Subject13TP3"	"Group2"	6.28	-2.87	-0.54	0.47	3.14	0.13	1.19	0.52	2.27	0.35
"Subject14TP0"	"Group2"	5.69	0.48	-1.28	0.59	-3.08	1.73	1.21	0.63	-0.29	-0.02
"Subject14TP1"	"Group2"	4.92	1.45	-0.15	-0.12	0.12	0.09	-2.46	-0.07	-0.01	-0.15
"Subject14TP2"	"Group2"	3.68	6.25	2.96	0.62	0.62	-2.73	2.22	0.63	1.41	0.24
"Subject14TP3"	"Group2"	6.21	-2.99	-0.16	1.37	2.83	1.4	0	1.63	1.63	-1.17
"Subject15TP0"	"Group2"	5.74	0.06	-1.35	0.68	-2.7	2.6	1.06	0.21	-0.46	0.54
"Subject15TP1"	"Group2"	5.21	1.99	0.75	-0.08	-0.34	-0.07	-2.12	-0.98	-0.12	0.42
"Subject15TP2"	"Group2"	4.54	4.47	2.08	-1.42	1.77	-0.6	1.88	1.94	-1.74	-0.29
"Subject15TP3"	"Group2"	6.29	-1.73	-1.21	1.43	2.66	1.07	-1.01	0.6	-0.15	-0.34
"Subject16TP0"	"Group2"	5.56	0.07	-1.57	0.64	-2.39	2.88	1.16	0.51	-0.93	0.11
"Subject16TP1"	"Group2"	5.77	2.16	0.67	-0.38	-0.39	-0.24	-2.21	-0.55	-0.27	-0.03
"Subject16TP2"	"Group2"	3.92	4.31	2.26	-1.32	1.31	-0.8	1.33	0.84	-4.75	0.23
"Subject16TP3"	"Group2"	5.83	-2.63	-0.83	0.33	3.5	1.97	-0.42	1.11	-0.55	-0.47
"Subject17TP0"	"Group2"	6.44	-0.57	-1.41	1.73	-2.97	2.69	0.66	0.13	-0.01	1.95
"Subject17TP1"	"Group2"	5.05	2.53	0	-0.64	0.32	-0.9	-1.99	-0.05	0.91	-0.48
"Subject17TP2"	"Group2"	5.44	2.32	1.72	-0.21	0.39	-0.44	0.02	1.14	-0.61	0.25
"Subject17TP3"	"Group2"	6.65	-2.48	-0.75	0.33	1.94	1.24	-0.38	0	-0.03	-0.58
"Subject18TP0"	"Group2"	5.92	-0.68	-2.48	0.27	-2.24	1.6	0.61	-0.11	0.18	0.4
"Subject18TP1"	"Group2"	5.1	2.37	-0.04	-0.39	0.31	-1.05	-2.15	0.08	0.21	-1.12
"Subject18TP2"	"Group2"	5.47	2.41	1.54	-0.01	0	-0.23	-0.64	0.52	-0.53	0.28
"Subject18TP3"	"Group2"	6.72	-2.58	-0.8	-0.2	1.29	-0.56	-0.15	-0.02	-0.12	0.01
