"rnames1"	"temp1"	"temp3"	"sample_clust_num"
"Subject13TP2"	"2"	"2"	"3"
"Subject12TP2"	"2"	"2"	"3"
"Subject14TP2"	"2"	"2"	"3"
"Subject10TP2"	"2"	"2"	"3"
"Subject15TP2"	"2"	"2"	"3"
"Subject11TP2"	"2"	"2"	"3"
"Subject17TP2"	"2"	"2"	"3"
"Subject18TP2"	"2"	"2"	"3"
"Subject16TP2"	"2"	"2"	"3"
"Subject15TP1"	"2"	"2"	"3"
"Subject14TP1"	"2"	"2"	"3"
"Subject10TP1"	"2"	"2"	"3"
"Subject11TP1"	"2"	"2"	"3"
"Subject17TP1"	"2"	"2"	"3"
"Subject18TP1"	"2"	"2"	"3"
"Subject12TP1"	"2"	"2"	"3"
"Subject13TP1"	"2"	"2"	"3"
"Subject16TP1"	"2"	"2"	"3"
"Subject10TP0"	"2"	"2"	"3"
"Subject11TP0"	"2"	"2"	"3"
"Subject13TP0"	"2"	"2"	"3"
"Subject15TP0"	"2"	"2"	"3"
"Subject18TP0"	"2"	"2"	"3"
"Subject17TP0"	"2"	"2"	"3"
"Subject16TP0"	"2"	"2"	"3"
"Subject12TP0"	"2"	"2"	"3"
"Subject14TP0"	"2"	"2"	"3"
"Subject14TP3"	"2"	"2"	"3"
"Subject17TP3"	"2"	"2"	"3"
"Subject18TP3"	"2"	"2"	"3"
"Subject12TP3"	"2"	"2"	"3"
"Subject13TP3"	"2"	"2"	"3"
"Subject10TP3"	"2"	"2"	"3"
"Subject11TP3"	"2"	"2"	"3"
"Subject15TP3"	"2"	"2"	"3"
"Subject16TP3"	"2"	"2"	"3"
"Subject5TP2"	"1"	"1"	"2"
"Subject6TP2"	"1"	"1"	"2"
"Subject3TP2"	"1"	"1"	"2"
"Subject4TP2"	"1"	"1"	"2"
"Subject8TP2"	"1"	"1"	"2"
"Subject7TP2"	"1"	"1"	"2"
"Subject9TP2"	"1"	"1"	"2"
"Subject1TP2"	"1"	"1"	"2"
"Subject2TP2"	"1"	"1"	"2"
"Subject1TP1"	"1"	"1"	"1"
"Subject6TP1"	"1"	"1"	"1"
"Subject3TP1"	"1"	"1"	"1"
"Subject4TP1"	"1"	"1"	"1"
"Subject2TP1"	"1"	"1"	"1"
"Subject5TP1"	"1"	"1"	"1"
"Subject8TP1"	"1"	"1"	"1"
"Subject7TP1"	"1"	"1"	"1"
"Subject9TP1"	"1"	"1"	"1"
"Subject9TP3"	"1"	"1"	"1"
"Subject1TP3"	"1"	"1"	"1"
"Subject2TP3"	"1"	"1"	"1"
"Subject3TP3"	"1"	"1"	"1"
"Subject4TP3"	"1"	"1"	"1"
"Subject5TP3"	"1"	"1"	"1"
"Subject6TP3"	"1"	"1"	"1"
"Subject7TP3"	"1"	"1"	"1"
"Subject8TP3"	"1"	"1"	"1"
"Subject3TP0"	"1"	"1"	"1"
"Subject4TP0"	"1"	"1"	"1"
"Subject5TP0"	"1"	"1"	"1"
"Subject6TP0"	"1"	"1"	"1"
"Subject1TP0"	"1"	"1"	"1"
"Subject2TP0"	"1"	"1"	"1"
"Subject7TP0"	"1"	"1"	"1"
"Subject8TP0"	"1"	"1"	"1"
"Subject9TP0"	"1"	"1"	"1"
