"P.value_Factor1Group2"	"P.value_Age"	"P.value_GenderM"	"Estimate_Factor1Group2"	"Estimate_Age"	"Estimate_GenderM"	"StdError_var_Factor1Group2"	"StdError_var_Age"	"StdError_var_GenderM"	"t-statistic_Factor1Group2"	"t-statistic_Age"	"t-statistic_GenderM"	"mz"	"time"	"Subject1TP0"	"Subject1TP1"	"Subject1TP2"	"Subject1TP3"	"Subject2TP0"	"Subject2TP1"	"Subject2TP2"	"Subject2TP3"	"Subject3TP0"	"Subject3TP1"	"Subject3TP2"	"Subject3TP3"	"Subject4TP0"	"Subject4TP1"	"Subject4TP2"	"Subject4TP3"	"Subject5TP0"	"Subject5TP1"	"Subject5TP2"	"Subject5TP3"	"Subject6TP0"	"Subject6TP1"	"Subject6TP2"	"Subject6TP3"	"Subject7TP0"	"Subject7TP1"	"Subject7TP2"	"Subject7TP3"	"Subject8TP0"	"Subject8TP1"	"Subject8TP2"	"Subject8TP3"	"Subject9TP0"	"Subject9TP1"	"Subject9TP2"	"Subject9TP3"	"Subject10TP0"	"Subject10TP1"	"Subject10TP2"	"Subject10TP3"	"Subject11TP0"	"Subject11TP1"	"Subject11TP2"	"Subject11TP3"	"Subject12TP0"	"Subject12TP1"	"Subject12TP2"	"Subject12TP3"	"Subject13TP0"	"Subject13TP1"	"Subject13TP2"	"Subject13TP3"	"Subject14TP0"	"Subject14TP1"	"Subject14TP2"	"Subject14TP3"	"Subject15TP0"	"Subject15TP1"	"Subject15TP2"	"Subject15TP3"	"Subject16TP0"	"Subject16TP1"	"Subject16TP2"	"Subject16TP3"	"Subject17TP0"	"Subject17TP1"	"Subject17TP2"	"Subject17TP3"	"Subject18TP0"	"Subject18TP1"	"Subject18TP2"	"Subject18TP3"
9.50179357813804e-05	0.115261243273188	0.235283659278951	0.570822511086733	-0.0141134228780028	-0.168939496590055	0.137587851750179	0.0088463444877545	0.141081155710877	4.14878569456252	-1.59539603025172	-1.19746323127852	193.09709	101.9	7.15	7.35	7.01	6.84	7.05	6.34	7.05	6.79	8.11	6.88	6.92	6.63	8.03	7.5	6.92	6.96	8.2	6.42	6.92	5.35	8.4	6.28	6.96	4.38	7.21	6.34	6.88	6.34	7.27	6.42	6.92	6.75	6.92	6.34	7.05	6.84	7.56	7.62	7.98	7.41	7.41	7.69	8.03	7.5	7.27	7.41	7.76	6.88	7.21	7.76	7.27	7.05	7.41	7.41	7.88	7.01	7.21	7.35	7.41	7.27	6.79	7.62	7.62	7.1	6.84	8.03	7.27	7.27	7.35	8.03	7.35	7.27
0.0497165112657332	0.824409761885518	0.236600421430294	0.370644489314806	-0.00265662465757683	0.227131052713057	0.185506345776219	0.011927310576668	0.190216282330874	1.99801515017671	-0.222734592220118	1.19406735285663	104.07101	114.8	6.75	5.22	6.28	7.76	6.42	4.96	6.63	7.65	6.63	4.5	6.88	8.03	6.58	4.66	6.28	7.69	7.1	5.08	6.7	7.62	7.01	5.53	6.51	7.5	6.75	4.96	6.58	6.88	6.18	5.35	6.84	7.82	6.51	4.66	6.34	7.76	7.41	6.28	6.79	7.05	7.35	6.42	7.05	7.01	6.88	6.51	6.96	7.27	7.15	6.7	6.84	7.15	7.01	6.28	7.05	7.21	6.84	6.58	7.21	6.18	6.84	6.88	7.1	7.21	7.15	6.51	6.42	7.41	7.15	6.51	6.58	7.41
0.000119848473994739	0.572203013489989	0.769771540451389	0.567224501806743	-0.0050710314837904	-0.0418704670716087	0.138963546159437	0.00893479609521377	0.142491778485302	4.08182230148293	-0.567559844651281	-0.293844792427287	104.07101	114.8	7.1	6.42	6.96	5.22	6.88	6.79	6.79	6.51	6.92	6.34	6.63	6.58	7.15	5.7	6.79	6.38	7.62	5.83	7.05	6.51	7.27	6.51	6.92	5.08	6.92	5.83	6.51	4.07	6.88	5.83	6.51	5.7	6.88	5.22	6.63	6.42	7.1	6.18	7.01	7.01	7.15	6.88	7.1	7.21	7.41	6.88	7.05	6.92	7.35	6.51	7.35	7.21	7.35	6.7	7.15	6.51	7.35	6.75	6.51	7.01	7.27	6.28	7.05	6.63	7.27	6.92	6.92	7.1	7.5	6.79	6.88	7.35
5.030263617951e-08	0.651272808967502	0.707335051961318	-0.717823261823738	-0.00341815385281227	-0.0452688420838856	0.117098038966625	0.0075289320849354	0.120071114264397	-6.13010489465441	-0.454002481925907	-0.377016923355965	137.04564	76.3	10.22	9.25	8.79	8.56	10.04	9.17	8.93	8.5	9.88	9.25	8.61	8.67	9.88	9.34	8.61	8.45	10.3	9.4	8.56	8.56	10.3	9.25	8.56	8.67	9.8	9.34	8.61	8.61	9.88	9.4	8.61	8.45	9.88	9.34	8.72	8.79	8.2	8.79	8.72	8.07	8.67	8.79	8.61	7.94	8.67	8.79	8.67	8.03	8.45	8.61	8.61	7.98	8.5	8.61	8.67	8.07	8.11	8.67	8.31	7.98	8.2	8.67	8.5	7.98	8.31	8.72	8.36	8.11	8.36	8.72	8.45	8.16
1.54153484888269e-05	0.919607408973541	0.152530636172237	0.581365969585441	0.000813215190744325	0.185229906965208	0.124852130808909	0.00802748894699822	0.128022079590784	4.65643610420429	0.101303806970474	1.44685906960179	241.03079	130.8	6.96	4.66	6.07	6.28	6.7	5.7	5.7	6.88	6.84	5.35	6.18	5.83	6.79	6.18	6.34	5.7	7.27	5.53	6.18	6.75	7.1	5.94	6.34	5.94	6.34	5.7	6.07	4.3	6.58	5.53	6.79	6.42	6.58	4.82	6.42	5.83	6.79	6.63	5.83	6.42	6.7	6.84	6.63	6.84	7.01	6.7	6.75	7.1	6.63	6.63	6.7	6.96	6.88	6.58	6.96	6.92	6.96	6.18	6.7	6.96	6.92	6.63	6.84	6.88	7.01	6.75	6.7	6.79	6.96	6.75	6.7	7.1
0.886790921537599	0.429515601102914	0.517014849264853	0.0215894968582411	-0.00772021535554032	0.100904712997073	0.151080036849807	0.00971383762588834	0.154915902330635	0.142901056343425	-0.794764711216213	0.651351549318118	134.04476	132.9	8.11	7.05	6.79	5.83	8.11	7.01	7.01	4.96	8.16	6.92	6.7	5.7	7.41	6.7	7.01	6.07	8.4	7.1	6.84	5.53	8.36	6.75	6.84	5.35	7.62	7.01	6.92	6.42	7.82	6.7	6.63	6.07	7.62	6.92	6.92	6.18	7.35	7.05	6.84	6.92	6.92	7.1	6.79	6.88	7.05	6.92	6.84	7.15	6.75	7.05	6.28	6.84	7.05	7.1	6.79	6.96	7.01	7.1	6.96	7.15	6.96	6.92	7.21	6.96	6.7	7.27	6.18	7.15	7.01	6.84	6.79	6.88
4.91651281179823e-10	0.924923558601195	0.260132797718087	0.871425552098724	-0.000730452123453808	-0.139857293385024	0.120113308018566	0.00772280173561624	0.123162939866845	7.25502915933371	-0.0945838244280036	-1.13554689045444	204.12302	70.5	5.83	7.27	6.34	6.51	5.35	7.21	6.42	6.7	6.34	6.84	6.79	6.92	6.42	6.92	6.88	6.7	6.88	6.34	6.42	6.7	6.84	6.79	6.42	5.83	6.18	6.28	6.84	6.18	5.83	6.75	6.42	5.83	5.94	6.42	6.75	5.94	6.18	8.03	7.41	7.27	5.83	7.98	7.27	7.56	6.96	7.82	7.5	7.01	6.88	7.88	7.5	6.88	6.92	7.82	7.62	7.05	6.7	7.98	7.5	7.21	7.05	8.07	7.41	7.15	6.96	8.11	7.41	6.7	6.88	8.11	7.21	7.21
0.623391594903799	0.423939297482311	0.765074393587976	-0.058567788740129	-0.00614092548727161	0.0365253194793783	0.118727044231242	0.00763367055973431	0.121741479361809	-0.49329779174876	-0.804452515892348	0.3000236211261	132.07675	102.1	8.31	7.15	6.75	6.79	8.2	7.15	6.75	6.07	7.98	6.96	6.96	6.34	8.11	7.01	6.75	6.38	8.45	6.63	6.79	6.42	8.24	6.7	6.7	6.34	7.41	6.96	6.75	5.94	7.56	6.84	6.75	6.18	7.76	7.35	6.79	6.7	6.88	7.15	6.96	7.1	7.01	7.01	6.96	7.1	6.84	7.21	7.1	6.75	6.96	6.84	6.92	7.01	6.96	7.01	7.01	7.1	6.92	7.15	6.79	6.75	7.15	7.01	6.79	7.05	7.05	7.01	6.96	7.05	7.1	7.15	6.63	7.05
0.072965273294487	0.430505434396428	0.641488749772929	-0.29296830831894	-0.00820224732816977	-0.0771455514254836	0.160859587063205	0.0103426233000778	0.164943751656635	-1.82126731559883	-0.793052892887252	-0.467708237812357	170.09226	125.4	8.61	7.76	7.15	7.01	8.61	7.5	7.35	6.34	8.61	7.35	6.84	6.18	8.56	7.76	6.96	6.92	8.72	7.15	6.63	5.7	8.5	7.15	6.88	6.28	7.56	7.27	6.96	6.79	7.62	7.15	7.01	4.82	7.35	7.27	6.88	7.01	7.01	7.5	6.34	6.96	7.1	6.92	6.88	6.96	6.75	7.1	6.7	6.84	6.84	7.15	6.58	6.75	6.7	7.21	6.84	6.88	7.27	7.41	7.05	6.7	7.1	7.35	5.53	6.7	7.1	7.62	6.88	6.75	7.05	7.41	6.75	6.63
0.000431710984559484	0.317383766417127	0.832031575108574	0.756090730238315	-0.0132301144860059	0.0445997872634382	0.204287137236784	0.0131348397945418	0.209473911043854	3.70111765461743	-1.00725358610797	0.212913326729748	195.08769	172.6	7.76	5.35	5.22	3.14	6.96	5.08	4.3	4.66	6.88	5.08	5.7	4.66	6.96	5.22	6.18	4.07	7.15	5.35	5.7	4.3	7.05	5.7	5.22	4.18	6.63	5.53	5.83	3.82	6.63	4.66	4.96	3.93	6.63	5.83	5.53	4.82	6.51	6.07	6.28	5.53	6.58	6.34	6.51	6.42	6.58	7.01	6.18	6.18	6.07	6.42	5.53	6.42	6.42	6.42	6.07	6.42	6.51	6.51	6.07	6.34	6.58	6.51	5.83	5.35	5.83	6.42	5.08	6.51	6.51	6.42	6.07	6.51
