"mz"	"time"
193.09709	101.9
104.07101	114.8
104.07101	114.8
137.04564	76.3
241.03079	130.8
134.04476	132.9
204.12302	70.5
132.07675	102.1
170.09226	125.4
195.08769	172.6
369.12935	49.7
124.04031	125
133.06077	123.4
162.1124	94
457.11102	99.9
147.11277	124.4
258.10637	63.3
258.10637	63.3
203.05242	59.5
153.05442	152.2
363.21618	42
363.21618	42
120.06562	119.5
123.05531	52.8
123.05531	52.8
137.05966	112.2
118.08645	118.2
118.08645	118.2
377.14538	60.5
258.1096	129.2
446.17791	79.3
169.03547	123.1
257.24728	78.7
161.0196	80.2
255.06537	122.8
400.34156	112.9
181.20718	95.6
484.30826	104.7
180.06599	26.8
114.06648	66.3
90.05544	114.3
90.05544	114.3
500.30344	47.9
175.11883	124.2
500.30408	161.1
500.30408	161.1
193.03409	126.7
193.03409	126.7
195.0875	1.4
153.03966	124.2
258.10967	132.6
138.05501	18
169.05012	4.6
181.0718	419.9
156.07674	126.3
170.08106	30
297.97307	125
181.04836	126.5
165.09094	143.3
169.0971	103.1
444.1638	39.7
181.07191	254
353.13496	72.1
265.11181	92.3
150.05833	111.4
195.08766	374.8
300.28962	83.8
122.02708	124.2
130.04993	122.3
130.04993	122.3
153.05497	31.2
389.37781	89.9
123.05525	167.8
180.0655	135
175.02392	98.7
169.04828	128.9
245.07701	108.2
190.08619	103.5
220.1183	48
190.0862	104.6
380.25545	60.5
393.29911	60.2
248.03152	103.7
206.08117	107.7
206.08117	107.7
239.14951	26.6
140.99493	159.1
119.03401	115.4
425.04438	85.3
209.09205	111.1
209.09205	111.1
188.07042	106
302.30549	16.7
205.09699	107.5
181.07197	146.7
345.07731	114.8
123.0445	125
159.05125	32.2
516.29917	150.4
472.43677	78.8
460.19325	40.7
183.0782	113.5
