"mz_cluster_label"	"mz"	"time"	"Subject.13.TP.2"	"Subject.12.TP.2"	"Subject.14.TP.2"	"Subject.10.TP.2"	"Subject.15.TP.2"	"Subject.11.TP.2"	"Subject.17.TP.2"	"Subject.18.TP.2"	"Subject.16.TP.2"	"Subject.15.TP.1"	"Subject.14.TP.1"	"Subject.10.TP.1"	"Subject.11.TP.1"	"Subject.17.TP.1"	"Subject.18.TP.1"	"Subject.12.TP.1"	"Subject.13.TP.1"	"Subject.16.TP.1"	"Subject.10.TP.0"	"Subject.11.TP.0"	"Subject.13.TP.0"	"Subject.15.TP.0"	"Subject.18.TP.0"	"Subject.17.TP.0"	"Subject.16.TP.0"	"Subject.12.TP.0"	"Subject.14.TP.0"	"Subject.14.TP.3"	"Subject.17.TP.3"	"Subject.18.TP.3"	"Subject.12.TP.3"	"Subject.13.TP.3"	"Subject.10.TP.3"	"Subject.11.TP.3"	"Subject.15.TP.3"	"Subject.16.TP.3"	"Subject.5.TP.2"	"Subject.6.TP.2"	"Subject.3.TP.2"	"Subject.4.TP.2"	"Subject.8.TP.2"	"Subject.7.TP.2"	"Subject.9.TP.2"	"Subject.1.TP.2"	"Subject.2.TP.2"	"Subject.1.TP.1"	"Subject.6.TP.1"	"Subject.3.TP.1"	"Subject.4.TP.1"	"Subject.2.TP.1"	"Subject.5.TP.1"	"Subject.8.TP.1"	"Subject.7.TP.1"	"Subject.9.TP.1"	"Subject.9.TP.3"	"Subject.1.TP.3"	"Subject.2.TP.3"	"Subject.3.TP.3"	"Subject.4.TP.3"	"Subject.5.TP.3"	"Subject.6.TP.3"	"Subject.7.TP.3"	"Subject.8.TP.3"	"Subject.3.TP.0"	"Subject.4.TP.0"	"Subject.5.TP.0"	"Subject.6.TP.0"	"Subject.1.TP.0"	"Subject.2.TP.0"	"Subject.7.TP.0"	"Subject.8.TP.0"	"Subject.9.TP.0"
5	123.05531	52.8	7.62	7.35	7.69	7.88	7.62	7.82	7.15	7.05	7.56	6.79	7.05	7.01	6.63	6.79	6.92	7.05	6.92	7.1	7.88	7.88	7.98	7.76	7.88	7.88	7.82	8.11	8.11	5.35	6.28	4.96	5.22	6.07	5.83	6.18	5.35	5.08	5.22	4.3	5.08	4.82	4.38	4.5	4.96	3.66	4.07	6.84	6.58	6.7	6.75	6.58	6.18	6.18	6.07	6.18	4.66	4.38	5.22	4.38	5.22	4.5	4.07	5.22	4.66	4.66	3.14	4.66	4.5	5.22	4.3	4.38	3.82	3.82
5	153.05442	152.2	8.4	8.56	8.61	8.31	8.2	8.45	8.03	8.16	7.98	7.94	7.62	7.76	7.76	7.88	7.98	7.94	7.62	7.94	9.09	8.86	9.4	8.86	9	8.93	8.93	9.25	9.34	5.94	6.18	6.34	6.07	6.18	6.07	6.34	6.28	5.83	6.51	6.75	6.58	6.58	6.28	6.63	6.7	5.35	6.07	8.16	8.07	8.03	7.94	7.98	8.16	7.88	7.88	7.94	7.15	7.1	6.92	6.84	6.79	6.63	6.51	7.05	6.88	5.53	5.22	6.07	5.94	5.53	5.22	4.66	4.82	4.82
5	118.08645	118.2	8.11	8.24	8.07	8.11	7.56	7.76	7.56	7.56	7.5	6.63	6.34	6.34	6.07	6.18	6.18	6.34	6.75	6.58	7.27	6.79	7.88	7.62	4.66	7.94	7.76	7.98	7.98	6.07	4.66	5.53	5.83	4.66	4.82	6.07	5.94	5.94	5.53	5.83	5.83	5.35	5.53	4.82	5.22	3.82	4.5	6.88	7.1	7.15	7.35	6.88	6.51	6.79	6.51	6.58	6.88	6.34	6.28	6.42	5.35	5.83	5.7	6.7	5.94	4.82	4.82	5.22	4.96	4.38	4.82	4.07	4.07	3.93
5	181.0718	419.9	4.5	4.18	5.35	4.38	4.3	4.3	4.38	4.38	4.07	4.3	4.5	4.38	4.38	4.38	4.38	4.18	4.18	4.38	4.66	4.38	4.5	4.66	4.38	5.53	4.82	4.38	5.08	5.83	4.38	4.18	4.07	4.3	4.38	4.5	4.5	4.5	3.14	3.39	3.93	3.82	3.39	3.66	3.39	2.5	3.66	5.83	4.82	5.94	5.08	5.53	4.38	4.82	4.66	4.96	2.5	3.39	3.14	2.5	3.14	2.5	2.5	3.14	2.5	4.5	4.96	4.18	4.3	4.3	4.07	5.22	4.96	4.5
8	302.30549	16.7	9	8.86	8.93	9.25	9.17	9.17	8.61	8.67	9	8.5	8.07	8.56	8.4	8.56	8.56	8.03	8.16	8.61	8.11	8.07	7.69	8.2	7.94	7.56	8.07	8.03	8.03	7.27	7.56	7.5	7.05	7.27	7.15	7.27	7.41	7.41	3.39	3.82	3.39	3.66	4.5	5.7	4.82	6.18	6.7	6.63	7.01	7.41	7.05	6.7	7.41	7.35	6.79	7.05	7.98	7.41	7.5	7.21	7.41	7.41	7.62	7.98	7.94	7.82	7.05	8.31	8.61	9.4	8.36	7.35	7.21	7.41
8	188.07042	106	9.48	9.48	9.48	9.4	9.48	9.48	9	9.17	9.48	8.79	8.56	8.86	8.67	9	8.86	8.67	8.67	8.93	8.72	8.79	8.4	8.67	8.11	8.24	8.86	8.45	8.56	7.5	8.03	7.94	7.41	7.41	7.21	7.41	7.69	7.56	4.38	5.08	5.35	5.08	6.58	6.42	6.58	7.35	7.56	7.88	8.36	8.2	8.24	8.03	8.36	8.2	8.03	8.11	8.72	8.61	8.45	8.07	8.03	8.36	8.16	8.45	8.67	8.93	8.93	9.25	9.09	9.8	9.34	8.2	8.16	8.31
8	205.09699	107.5	8.03	7.82	8.31	8.56	7.27	8.4	7.62	7.69	7.15	7.05	6.63	7.1	7.27	7.21	7.5	6.96	7.01	7.05	6.92	6.96	6.7	6.63	6.63	6.58	6.7	6.79	6.79	4.07	4.07	6.07	5.35	4.96	5.94	4.96	4.07	4.07	2.5	3.14	2.5	2.5	3.14	2.5	2.5	3.14	3.39	4.07	4.18	4.18	4.38	3.93	4.66	3.82	3.82	4.38	5.53	4.3	3.66	4.3	4.96	4.66	4.66	6.07	5.53	5.83	6.07	6.63	6.58	6.42	5.53	4.82	4.5	4.66
8	460.19325	40.7	11.12	11.12	11.12	11.54	10.85	11.54	11.12	11.12	11.12	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.79	11.27	11.27	11.27	11.27	11.27	11.27	11.27	10.85	11.12	11.12	11.27	10.85	11.27	10.85	11.27	11.12	10.85	10.85	10.85	10.85	10.85	11.12	10.85	11.27	11.27	11.54	11.12	11.27	11.12	11.27	11.12	11.12	11.12	11.12	11.27	11.12	11.12	11.12	11.12	11.12	11.27	11.12	11.27	11.12	11.27	10.85	11.12	11.79	11.79	11.27	11.12	11.27
7	169.03547	123.1	9.72	9.62	9.72	9.72	9.4	9.62	9.62	9.55	9.4	9.4	9.09	9.25	9.17	9.25	9	9.17	9.17	9.4	8.86	8.4	8.24	8.07	7.98	8.03	8.16	8.24	8.4	9	9.09	9.17	8.93	8.93	8.93	8.86	8.67	8.67	9.17	9.17	9.34	9.4	9.25	9.34	9.48	9.62	9.62	8.72	8.5	8.67	8.61	8.61	8.79	8.67	8.45	8.56	9.09	9.25	9.25	9	9.09	9.17	9.17	9.17	9.09	8.03	7.98	8.03	7.88	7.94	7.62	7.05	7.15	7.15
7	446.17791	79.3	9.4	9.34	9.25	9.34	9	9.34	9.09	9	9.17	8.72	8.5	8.67	8.72	8.61	8.61	8.56	8.5	8.79	8.36	8.72	8.31	7.94	7.69	7.5	7.94	8.07	8.16	8.16	8.24	8.24	8.11	8.16	8.11	8.11	8.24	8.16	7.82	7.82	8.16	8.31	8.2	8.16	8.31	8.24	8.16	8.5	8.56	8.24	8.31	8.45	8.4	8.31	8.36	8.2	5.7	8.4	8.31	8.16	8.16	8.11	8.31	8.31	8.36	7.41	7.69	8.24	8.11	7.62	7.41	6.42	6.92	6.84
