"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"193.09709_101.9"	-0.06	-0.1	0.11	-0.07	-0.04	-0.23	0.06	0.12	-0.1	0.06
"104.07101_114.8"	-0.09	0.04	-0.03	0.01	0.32	-0.15	-0.16	-0.16	-0.01	0.01
"104.07101_114.8"	-0.08	-0.05	0.14	-0.07	-0.06	-0.13	-0.19	-0.09	0.1	0.03
"137.04564_76.3"	0.12	-0.05	0.16	0.01	0.04	-0.11	0.08	0.05	-0.02	-0.04
"241.03079_130.8"	-0.1	-0.04	0.11	-0.06	0.11	-0.08	-0.12	-0.09	-0.08	0.09
"134.04476_132.9"	0.01	-0.07	0.24	-0.09	-0.06	-0.02	0.05	0.12	0.03	-0.03
"204.12302_70.5"	-0.09	-0.09	-0.06	-0.03	-0.15	-0.06	0.24	0.18	-0.18	0.15
"132.07675_102.1"	0.02	-0.07	0.24	-0.07	0	-0.09	0.07	-0.04	-0.06	-0.07
"170.09226_125.4"	0.05	-0.04	0.22	0.02	-0.07	-0.1	0.2	-0.03	-0.03	0.05
"195.08769_172.6"	-0.06	-0.09	0.21	-0.06	-0.06	-0.01	0.01	-0.01	0.04	-0.14
"369.12935_49.7"	0.06	-0.01	0.16	-0.06	0	-0.23	-0.02	0.12	0.02	0.24
"124.04031_125"	-0.09	-0.1	0.16	-0.04	0.06	-0.01	-0.05	0.03	-0.13	0.12
"133.06077_123.4"	0.1	-0.09	0.16	-0.02	0.06	-0.09	0.16	0.04	-0.04	-0.02
"162.1124_94"	0	-0.07	0.23	-0.05	-0.04	-0.08	0.03	0.09	-0.09	-0.23
"457.11102_99.9"	-0.01	-0.08	0.21	-0.07	-0.11	-0.08	0.06	0.06	0.08	-0.04
"147.11277_124.4"	0.06	-0.05	0.19	0.05	-0.06	-0.07	-0.31	-0.05	0.08	-0.01
"258.10637_63.3"	-0.09	-0.1	-0.17	-0.04	0.1	-0.09	0.09	-0.06	-0.04	-0.04
