"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"500.30408_161.1"	-0.17	-0.06	-0.03	-0.05	-0.04	-0.03	0	0.01	0.03	-0.01
"500.30344_47.9"	-0.16	-0.06	-0.03	-0.07	-0.03	-0.03	0.01	0.03	-0.06	0.01
"180.06599_26.8"	-0.16	-0.09	0.03	-0.04	-0.05	-0.09	-0.02	-0.05	0.01	0.01
"195.08766_374.8"	-0.15	-0.1	-0.07	0.02	0.01	-0.1	0.05	-0.11	-0.09	0.01
"153.03966_124.2"	-0.17	-0.04	-0.01	0.03	0	0.01	-0.05	0.06	0.07	0.03
"130.04993_122.3"	-0.17	-0.05	-0.02	0.01	0.02	0.04	0	-0.01	-0.08	-0.02
"363.21618_42"	0.15	0.11	-0.01	0.03	0.15	0.01	0.01	0.01	-0.02	-0.01
"377.14538_60.5"	0.14	0.12	0.01	0.03	0.15	0.03	0.06	-0.02	-0.05	0.01
"156.07674_126.3"	-0.17	0	0	0.06	-0.04	0.06	-0.02	0.13	0.04	-0.06
"258.10967_132.6"	-0.17	0	-0.02	0.06	-0.01	0.06	-0.05	0.01	0.03	-0.08
"400.34156_112.9"	0.16	-0.01	0.05	0.08	0.05	-0.07	0.05	-0.12	-0.04	-0.05
"255.06537_122.8"	-0.15	-0.06	0.03	-0.01	0.01	-0.01	-0.04	0.05	-0.11	0.16
"137.05966_112.2"	0.11	0.17	0.02	0.04	0.19	0.11	-0.04	-0.11	-0.04	0.06
"175.11883_124.2"	-0.15	-0.01	-0.02	-0.11	0.14	-0.06	0.04	0.08	0.2	-0.07
"257.24728_78.7"	0.16	-0.04	0.07	0.09	0.04	-0.07	0.06	-0.04	-0.09	-0.13
"363.21618_42"	0.11	0.19	0.02	0.02	0.18	0.13	-0.02	-0.09	0	0.09
"90.05544_114.3"	-0.14	-0.06	0.09	-0.04	0.08	-0.07	0.1	0.05	0.27	0.09
"90.05544_114.3"	-0.16	0.04	-0.02	0.02	0	0.14	-0.05	0.07	0.06	-0.05
"203.05242_59.5"	0.11	0.19	0.02	0	0.17	0.09	-0.03	-0.08	-0.03	0.12
"258.1096_129.2"	0.1	0.18	0.02	-0.01	0.17	0.11	-0.03	-0.01	-0.03	0.19
"161.0196_80.2"	-0.15	0.03	-0.06	-0.06	0.05	0.13	-0.01	-0.03	0.13	0.09
"195.0875_1.4"	0.16	-0.07	0.02	0.1	0.07	-0.04	0.08	-0.08	-0.07	-0.05
"206.08117_107.7"	0.15	-0.03	0.02	-0.19	-0.05	-0.08	-0.02	0.08	0.05	-0.09
"123.05531_52.8"	0.1	0.16	0.12	0.15	-0.22	0.11	0.07	0.01	-0.03	-0.06
"170.08106_30"	-0.14	0.01	-0.03	0.08	0	0.08	0	0.05	0.11	-0.28
"181.20718_95.6"	-0.12	-0.11	0.05	0.09	-0.01	-0.01	0.08	-0.14	-0.15	0.2
"258.10637_63.3"	0.11	0.08	0.2	-0.19	0.1	-0.12	0.04	0.01	0.05	-0.01
"265.11181_92.3"	0.15	-0.1	0.01	0.04	-0.04	-0.07	-0.05	-0.05	0.12	-0.07
"205.09699_107.5"	0.1	0.19	-0.01	-0.2	-0.13	-0.04	0.02	0	0.02	-0.03
"204.12302_70.5"	0.1	0.08	0.11	0.13	0.02	-0.18	-0.33	0.22	0.02	-0.01
"206.08117_107.7"	0.14	-0.08	-0.01	-0.18	0.03	0.09	-0.03	-0.05	-0.05	-0.11
"193.03409_126.7"	0.09	0.13	0.06	-0.06	-0.3	0.19	0.16	0.15	0.04	-0.09
"169.04828_128.9"	0.15	-0.12	-0.05	0.08	0	-0.03	0.03	0.03	-0.02	-0.03
"500.30408_161.1"	-0.11	-0.05	-0.05	-0.09	0.11	0.18	0.13	0.02	-0.33	-0.22
"193.03409_126.7"	-0.11	-0.02	-0.04	-0.16	0.11	-0.03	0.27	-0.02	0.32	-0.14
"124.04031_125"	0.11	0.09	-0.22	-0.01	0	-0.03	0.06	0.19	-0.06	-0.13
"137.04564_76.3"	-0.12	0.11	-0.19	-0.04	-0.06	-0.14	-0.1	-0.02	0.02	-0.05
"484.30826_104.7"	-0.09	-0.08	0.08	-0.07	-0.11	-0.18	0.02	0.02	-0.16	-0.22
"138.05501_18"	0.14	-0.11	-0.05	-0.09	0.03	-0.05	0.03	-0.14	-0.09	-0.13
"122.02708_124.2"	0.13	-0.14	0.01	0.08	-0.01	-0.03	-0.04	0.01	0.09	0.04
"181.07197_146.7"	0.11	-0.04	-0.1	-0.12	-0.12	0.09	-0.03	0.22	-0.13	0.29
"153.05442_152.2"	0.06	0.11	0.19	0.11	-0.35	0.13	0.06	0.04	-0.03	-0.01
"120.06562_119.5"	-0.1	-0.09	0.23	0.09	-0.14	0.13	-0.06	-0.06	0.02	0.04
"302.30549_16.7"	0.06	0.21	-0.01	-0.29	-0.02	0.06	-0.06	0.05	0.09	0
"389.37781_89.9"	0.13	-0.17	-0.02	-0.06	0.04	0.03	0.02	-0.04	-0.07	0.02
"241.03079_130.8"	0.11	0	-0.19	-0.07	0.02	-0.09	0.17	0.14	0.05	0.15
"181.04836_126.5"	0.12	-0.15	-0.02	0.09	-0.11	-0.08	-0.1	0.07	0.08	-0.08
"118.08645_118.2"	0.05	0.13	0.22	0.06	-0.24	0.07	0.16	0.19	-0.03	-0.04
