"rnames1"	"temp1"	"temp3"	"sample_clust_num"
"Subject.13.TP.2"	"2"	"2"	"3"
"Subject.12.TP.2"	"2"	"2"	"3"
"Subject.14.TP.2"	"2"	"2"	"3"
"Subject.10.TP.2"	"2"	"2"	"3"
"Subject.15.TP.2"	"2"	"2"	"3"
"Subject.11.TP.2"	"2"	"2"	"3"
"Subject.17.TP.2"	"2"	"2"	"3"
"Subject.18.TP.2"	"2"	"2"	"3"
"Subject.16.TP.2"	"2"	"2"	"3"
"Subject.15.TP.1"	"2"	"2"	"3"
"Subject.14.TP.1"	"2"	"2"	"3"
"Subject.10.TP.1"	"2"	"2"	"3"
"Subject.11.TP.1"	"2"	"2"	"3"
"Subject.17.TP.1"	"2"	"2"	"3"
"Subject.18.TP.1"	"2"	"2"	"3"
"Subject.12.TP.1"	"2"	"2"	"3"
"Subject.13.TP.1"	"2"	"2"	"3"
"Subject.16.TP.1"	"2"	"2"	"3"
"Subject.10.TP.0"	"2"	"2"	"3"
"Subject.11.TP.0"	"2"	"2"	"3"
"Subject.13.TP.0"	"2"	"2"	"3"
"Subject.15.TP.0"	"2"	"2"	"3"
"Subject.18.TP.0"	"2"	"2"	"3"
"Subject.17.TP.0"	"2"	"2"	"3"
"Subject.16.TP.0"	"2"	"2"	"3"
"Subject.12.TP.0"	"2"	"2"	"3"
"Subject.14.TP.0"	"2"	"2"	"3"
"Subject.14.TP.3"	"2"	"2"	"3"
"Subject.17.TP.3"	"2"	"2"	"3"
"Subject.18.TP.3"	"2"	"2"	"3"
"Subject.12.TP.3"	"2"	"2"	"3"
"Subject.13.TP.3"	"2"	"2"	"3"
"Subject.10.TP.3"	"2"	"2"	"3"
"Subject.11.TP.3"	"2"	"2"	"3"
"Subject.15.TP.3"	"2"	"2"	"3"
"Subject.16.TP.3"	"2"	"2"	"3"
"Subject.5.TP.2"	"1"	"1"	"2"
"Subject.6.TP.2"	"1"	"1"	"2"
"Subject.3.TP.2"	"1"	"1"	"2"
"Subject.4.TP.2"	"1"	"1"	"2"
"Subject.8.TP.2"	"1"	"1"	"2"
"Subject.7.TP.2"	"1"	"1"	"2"
"Subject.9.TP.2"	"1"	"1"	"2"
"Subject.1.TP.2"	"1"	"1"	"2"
"Subject.2.TP.2"	"1"	"1"	"2"
"Subject.1.TP.1"	"1"	"1"	"1"
"Subject.6.TP.1"	"1"	"1"	"1"
"Subject.3.TP.1"	"1"	"1"	"1"
"Subject.4.TP.1"	"1"	"1"	"1"
"Subject.2.TP.1"	"1"	"1"	"1"
"Subject.5.TP.1"	"1"	"1"	"1"
"Subject.8.TP.1"	"1"	"1"	"1"
"Subject.7.TP.1"	"1"	"1"	"1"
"Subject.9.TP.1"	"1"	"1"	"1"
"Subject.9.TP.3"	"1"	"1"	"1"
"Subject.1.TP.3"	"1"	"1"	"1"
"Subject.2.TP.3"	"1"	"1"	"1"
"Subject.3.TP.3"	"1"	"1"	"1"
"Subject.4.TP.3"	"1"	"1"	"1"
"Subject.5.TP.3"	"1"	"1"	"1"
"Subject.6.TP.3"	"1"	"1"	"1"
"Subject.7.TP.3"	"1"	"1"	"1"
"Subject.8.TP.3"	"1"	"1"	"1"
"Subject.3.TP.0"	"1"	"1"	"1"
"Subject.4.TP.0"	"1"	"1"	"1"
"Subject.5.TP.0"	"1"	"1"	"1"
"Subject.6.TP.0"	"1"	"1"	"1"
"Subject.1.TP.0"	"1"	"1"	"1"
"Subject.2.TP.0"	"1"	"1"	"1"
"Subject.7.TP.0"	"1"	"1"	"1"
"Subject.8.TP.0"	"1"	"1"	"1"
"Subject.9.TP.0"	"1"	"1"	"1"
