"max.fold.change.log2"	"degree_rank"	"diffexp_rank"	"P.value"	"adjusted.P.value"	"mz"	"time"	"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
-0.543888888888889	92	51	9.50179357813804e-05	0.00018444658122268	193.09709	101.9	7.15	7.35	7.01	6.84	7.05	6.34	7.05	6.79	8.11	6.88	6.92	6.63	8.03	7.5	6.92	6.96	8.2	6.42	6.92	5.35	8.4	6.28	6.96	4.38	7.21	6.34	6.88	6.34	7.27	6.42	6.92	6.75	6.92	6.34	7.05	6.84	7.56	7.62	7.98	7.41	7.41	7.69	8.03	7.5	7.27	7.41	7.76	6.88	7.21	7.76	7.27	7.05	7.41	7.41	7.88	7.01	7.21	7.35	7.41	7.27	6.79	7.62	7.62	7.1	6.84	8.03	7.27	7.27	7.35	8.03	7.35	7.27
-0.4375	62	73	0.0497165112657332	0.0674237618535286	104.07101	114.8	6.75	5.22	6.28	7.76	6.42	4.96	6.63	7.65	6.63	4.5	6.88	8.03	6.58	4.66	6.28	7.69	7.1	5.08	6.7	7.62	7.01	5.53	6.51	7.5	6.75	4.96	6.58	6.88	6.18	5.35	6.84	7.82	6.51	4.66	6.34	7.76	7.41	6.28	6.79	7.05	7.35	6.42	7.05	7.01	6.88	6.51	6.96	7.27	7.15	6.7	6.84	7.15	7.01	6.28	7.05	7.21	6.84	6.58	7.21	6.18	6.84	6.88	7.1	7.21	7.15	6.51	6.42	7.41	7.15	6.51	6.58	7.41
-0.562777777777778	85	52	0.000119848473994739	0.000228173056259214	104.07101	114.8	7.1	6.42	6.96	5.22	6.88	6.79	6.79	6.51	6.92	6.34	6.63	6.58	7.15	5.7	6.79	6.38	7.62	5.83	7.05	6.51	7.27	6.51	6.92	5.08	6.92	5.83	6.51	4.07	6.88	5.83	6.51	5.7	6.88	5.22	6.63	6.42	7.1	6.18	7.01	7.01	7.15	6.88	7.1	7.21	7.41	6.88	7.05	6.92	7.35	6.51	7.35	7.21	7.35	6.7	7.15	6.51	7.35	6.75	6.51	7.01	7.27	6.28	7.05	6.63	7.27	6.92	6.92	7.1	7.5	6.79	6.88	7.35
0.725555555555555	10	37	5.030263617951e-08	1.34593540047878e-07	137.04564	76.3	10.22	9.25	8.79	8.56	10.04	9.17	8.93	8.5	9.88	9.25	8.61	8.67	9.88	9.34	8.61	8.45	10.3	9.4	8.56	8.56	10.3	9.25	8.56	8.67	9.8	9.34	8.61	8.61	9.88	9.4	8.61	8.45	9.88	9.34	8.72	8.79	8.2	8.79	8.72	8.07	8.67	8.79	8.61	7.94	8.67	8.79	8.67	8.03	8.45	8.61	8.61	7.98	8.5	8.61	8.67	8.07	8.11	8.67	8.31	7.98	8.2	8.67	8.5	7.98	8.31	8.72	8.36	8.11	8.36	8.72	8.45	8.16
-0.631666666666666	91	46	1.54153484888269e-05	3.31765108781274e-05	241.03079	130.8	6.96	4.66	6.07	6.28	6.7	5.7	5.7	6.88	6.84	5.35	6.18	5.83	6.79	6.18	6.34	5.7	7.27	5.53	6.18	6.75	7.1	5.94	6.34	5.94	6.34	5.7	6.07	4.3	6.58	5.53	6.79	6.42	6.58	4.82	6.42	5.83	6.79	6.63	5.83	6.42	6.7	6.84	6.63	6.84	7.01	6.7	6.75	7.1	6.63	6.63	6.7	6.96	6.88	6.58	6.96	6.92	6.96	6.18	6.7	6.96	6.92	6.63	6.84	6.88	7.01	6.75	6.7	6.79	6.96	6.75	6.7	7.1
-0.0605555555555553	25	99	0.886790921537599	0.886790921537599	134.04476	132.9	8.11	7.05	6.79	5.83	8.11	7.01	7.01	4.96	8.16	6.92	6.7	5.7	7.41	6.7	7.01	6.07	8.4	7.1	6.84	5.53	8.36	6.75	6.84	5.35	7.62	7.01	6.92	6.42	7.82	6.7	6.63	6.07	7.62	6.92	6.92	6.18	7.35	7.05	6.84	6.92	6.92	7.1	6.79	6.88	7.05	6.92	6.84	7.15	6.75	7.05	6.28	6.84	7.05	7.1	6.79	6.96	7.01	7.1	6.96	7.15	6.96	6.92	7.21	6.96	6.7	7.27	6.18	7.15	7.01	6.84	6.79	6.88
-0.833611111111111	93	30	4.91651281179823e-10	1.62244922789342e-09	204.12302	70.5	5.83	7.27	6.34	6.51	5.35	7.21	6.42	6.7	6.34	6.84	6.79	6.92	6.42	6.92	6.88	6.7	6.88	6.34	6.42	6.7	6.84	6.79	6.42	5.83	6.18	6.28	6.84	6.18	5.83	6.75	6.42	5.83	5.94	6.42	6.75	5.94	6.18	8.03	7.41	7.27	5.83	7.98	7.27	7.56	6.96	7.82	7.5	7.01	6.88	7.88	7.5	6.88	6.92	7.82	7.62	7.05	6.7	7.98	7.5	7.21	7.05	8.07	7.41	7.15	6.96	8.11	7.41	6.7	6.88	8.11	7.21	7.21
0.0397222222222222	14	92	0.623391594903799	0.670823564081262	132.07675	102.1	8.31	7.15	6.75	6.79	8.2	7.15	6.75	6.07	7.98	6.96	6.96	6.34	8.11	7.01	6.75	6.38	8.45	6.63	6.79	6.42	8.24	6.7	6.7	6.34	7.41	6.96	6.75	5.94	7.56	6.84	6.75	6.18	7.76	7.35	6.79	6.7	6.88	7.15	6.96	7.1	7.01	7.01	6.96	7.1	6.84	7.21	7.1	6.75	6.96	6.84	6.92	7.01	6.96	7.01	7.01	7.1	6.92	7.15	6.79	6.75	7.15	7.01	6.79	7.05	7.05	7.01	6.96	7.05	7.1	7.15	6.63	7.05
0.302777777777778	45	75	0.072965273294487	0.0963141607487229	170.09226	125.4	8.61	7.76	7.15	7.01	8.61	7.5	7.35	6.34	8.61	7.35	6.84	6.18	8.56	7.76	6.96	6.92	8.72	7.15	6.63	5.7	8.5	7.15	6.88	6.28	7.56	7.27	6.96	6.79	7.62	7.15	7.01	4.82	7.35	7.27	6.88	7.01	7.01	7.5	6.34	6.96	7.1	6.92	6.88	6.96	6.75	7.1	6.7	6.84	6.84	7.15	6.58	6.75	6.7	7.21	6.84	6.88	7.27	7.41	7.05	6.7	7.1	7.35	5.53	6.7	7.1	7.62	6.88	6.75	7.05	7.41	6.75	6.63
-0.787222222222223	30	55	0.000431710984559484	0.000777079772207071	195.08769	172.6	7.76	5.35	5.22	3.14	6.96	5.08	4.3	4.66	6.88	5.08	5.7	4.66	6.96	5.22	6.18	4.07	7.15	5.35	5.7	4.3	7.05	5.7	5.22	4.18	6.63	5.53	5.83	3.82	6.63	4.66	4.96	3.93	6.63	5.83	5.53	4.82	6.51	6.07	6.28	5.53	6.58	6.34	6.51	6.42	6.58	7.01	6.18	6.18	6.07	6.42	5.53	6.42	6.42	6.42	6.07	6.42	6.51	6.51	6.07	6.34	6.58	6.51	5.83	5.35	5.83	6.42	5.08	6.51	6.51	6.42	6.07	6.51
