SampleID	Age
14-10-cecum_1	10
19-12-cecum_1	40
2-11-cecum_1	50
10-14-cecum_1	10
27-13-cecum_1	30
32-15-cecum_1	44
20-16-cecum_1	33
3-17-cecum_1	73
25-2-cecum_1	10
30-3-cecum_1	39
8-1-cecum_1	50
1-5-ceccum_1	10
13-4-cecum_1	30
18-6-cecum_1	16
26-7-cecum_1	33
31-9-cecum_1	79
9-8-cecum_1	10
16-83-cecum_1	40
22-87-cecum_1	80
5-85-cecum_1	10
24-101-cecum_1	30
34-105-cecum_1	44
7-103-cecum_1	33
11-73-cecum_1	73
28-71-cecum_1	6
33-75-cecum_1	40
17-89-cecum_1	50
23-93-cecum_1	19
6-91-cecum_1	30
15-77-cecum_1	44
21-81-cecum_1	33
4-79-cecum_1	73
12-97-cecum_1	23
29-95-cecum_1	13
35-99-cecum_1	36
