Sample	Class
NonSmoker_1	NonSmoker
NonSmoker_3	NonSmoker
NonSmoker_5	NonSmoker
NonSmoker_7	NonSmoker
NonSmoker_9	NonSmoker
NonSmoker_11	NonSmoker
NonSmoker_13	NonSmoker
NonSmoker_15	NonSmoker
NonSmoker_17	NonSmoker
NonSmoker_19	NonSmoker
NonSmoker_21	NonSmoker
NonSmoker_23	NonSmoker
NonSmoker_25	NonSmoker
NonSmoker_27	NonSmoker
NonSmoker_29	NonSmoker
NonSmoker_31	NonSmoker
NonSmoker_33	NonSmoker
NonSmoker_35	NonSmoker
NonSmoker_37	NonSmoker
NonSmoker_39	NonSmoker
NonSmoker_41	NonSmoker
NonSmoker_43	NonSmoker
NonSmoker_45	NonSmoker
NonSmoker_47	NonSmoker
NonSmoker_49	NonSmoker
NonSmoker_51	NonSmoker
NonSmoker_53	NonSmoker
NonSmoker_55	NonSmoker
NonSmoker_57	NonSmoker
NonSmoker_59	NonSmoker
Smoker_1	Smoker
Smoker_3	Smoker
Smoker_5	Smoker
Smoker_7	Smoker
Smoker_9	Smoker
Smoker_11	Smoker
Smoker_13	Smoker
Smoker_15	Smoker
Smoker_17	Smoker
Smoker_19	Smoker
Smoker_21	Smoker
Smoker_23	Smoker
Smoker_25	Smoker
Smoker_27	Smoker
Smoker_29	Smoker
Smoker_31	Smoker
Smoker_33	Smoker
Smoker_35	Smoker
Smoker_37	Smoker
Smoker_39	Smoker
Smoker_41	Smoker
Smoker_43	Smoker
Smoker_45	Smoker
Smoker_47	Smoker
Smoker_49	Smoker
Smoker_51	Smoker
Smoker_53	Smoker
Smoker_55	Smoker
Smoker_57	Smoker
Smoker_59	Smoker
